brand_name,evaluation,brand_id
Adidas,"Adidas is engaging in work to assess its wage practices across Asia, but as a company it is still not willing to define what a living wage means in its business. By failing to do this, and passing on responsibility for wages in supplier factories to factory owners, the significant change needed for workers will never happen. Adidas must engage in identifying a living-wage figure and changing pricing in order to enable its payment.",4
Reebok,"Adidas is engaging in work to assess its wage practices across Asia, but as a company it is still not willing to define what a living wage means in its business. By failing to do this, and passing on responsibility for wages in supplier factories to factory owners, the significant change needed for workers will never happen. Adidas must engage in identifying a living-wage figure and changing pricing in order to enable its payment.",5
TaylorMade,"Adidas is engaging in work to assess its wage practices across Asia, but as a company it is still not willing to define what a living wage means in its business. By failing to do this, and passing on responsibility for wages in supplier factories to factory owners, the significant change needed for workers will never happen. Adidas must engage in identifying a living-wage figure and changing pricing in order to enable its payment.",
Rockport,"Adidas is engaging in work to assess its wage practices across Asia, but as a company it is still not willing to define what a living wage means in its business. By failing to do this, and passing on responsibility for wages in supplier factories to factory owners, the significant change needed for workers will never happen. Adidas must engage in identifying a living-wage figure and changing pricing in order to enable its payment.",6
Aldi,"Very little evidence was given by Aldi North or Aldi South of any work to address the problem of low pay. Their business model, to source 100% of their goods through agencies, outsources their engagement on human rights (such as the right to a living wage) but does not take away the responsibility to ensure that rights are upheld.",
Giorgio Armani,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",164
Armani Collezioni,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",
Emporio Armani,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",163
EA7,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",
Armani Jeans,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",162
Armani Exchange,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",
Armani Junior,"This company did not respond to our request for information, and the little information available on its website gives nothing away. It is therefore safe to assume the worst: that it has no engagement with ethical trading.",
George,Asda has implemented an Ethical Sourcing Programme that aims to improve conditions and enforce policies and initiatives that benefit workers. Some work on costing looks promising.,
Faded Glory,Asda has implemented an Ethical Sourcing Programme that aims to improve conditions and enforce policies and initiatives that benefit workers. Some work on costing looks promising.,
Asics,"Asics accepts the principle of a living wage, but in practice applies the legal minimum wage or industry benchmark. Good intentions are two a penny, actual commitment is needed. As for a broader approach to wages, what is more important than the fact that a wage should be enough to live on? This is surely the starting point.",
Onitsuka Tiger,"Asics accepts the principle of a living wage, but in practice applies the legal minimum wage or industry benchmark. Good intentions are two a penny, actual commitment is needed. As for a broader approach to wages, what is more important than the fact that a wage should be enough to live on? This is surely the starting point.",
Haglöfs,"Asics accepts the principle of a living wage, but in practice applies the legal minimum wage or industry benchmark. Good intentions are two a penny, actual commitment is needed. As for a broader approach to wages, what is more important than the fact that a wage should be enough to live on? This is surely the starting point.",
United Colors of Benetton,"This company did not respond to our request for information and has limited information on its website. Benetton has a policy that promises a living wage for workers, however no evidence has been given as to how a living-wage plan is implemented. Without evidence to prove otherwise, we suspect that little is being done to make this a reality.",35
Undercolors of Benetton,"This company did not respond to our request for information and has limited information on its website. Benetton has a policy that promises a living wage for workers, however no evidence has been given as to how a living-wage plan is implemented. Without evidence to prove otherwise, we suspect that little is being done to make this a reality.",
Sisley,"This company did not respond to our request for information and has limited information on its website. Benetton has a policy that promises a living wage for workers, however no evidence has been given as to how a living-wage plan is implemented. Without evidence to prove otherwise, we suspect that little is being done to make this a reality.",
Playlife,"This company did not respond to our request for information and has limited information on its website. Benetton has a policy that promises a living wage for workers, however no evidence has been given as to how a living-wage plan is implemented. Without evidence to prove otherwise, we suspect that little is being done to make this a reality.",
Jack & Jones,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Vero Moda,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Only,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Name It,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Pieces,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Selected,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Outfitters Nation,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Object Collectors Item,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Vila Clothes,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Junarose,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Mamalicious,"Bestseller recognises the principle of a living wage, but as a company it has a long way to go if this is to become a reality for workers in its supplier factories. No evidence was given of work to increase wages above the minimum wage, aside from trainings for management and staff.",
Yessica,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Yessica Pure,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Your Sixth Sense,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Angelo Litrico,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Westbury,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Canda,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Clockhouse,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Baby Club,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Palomino,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Here & There,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Rodeo Sport,"C&A is doing very little to ensure that a living wage is paid to workers in its supply chains. It does not accept that there is a definition of a living wage (although it is fairly clear to us), and as such has failed to embed this in its company practice  disappointing.",
Tex,"Global brands such as Carrefour cannot wash their hands of the responsibility to work out how to pay a living wage, while acknowledging the fact that a wage should meet basic needs. Carrefour has chosen to engage in global trade, and so has chosen to take on the responsibility that comes with it. Saying it doesnt directly employ the workers who make its clothes is not a responsible answer when the companys activity clearly has an impact on the lives of thousands of workers making its products.",
Celio,Celio did not respond to our request for information and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
Charles Vögele,"Charles Vögele has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. It has chosen to hide behind the BSCI and outsource responsibility for the respecting of labour and human rights to the initiative. Nothing in the answers provided by this company indicates to us a serious engagement in improving the wage situation in its supply chain and increasing pay to a living-wage level.",
Artengo,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Btwin,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Caperlan,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Decathlon,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Domyos,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Equarea,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Flx,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Fouganza,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Inesis,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Kalenji,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Kipsta,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Nabaiji,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Newfeel,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Novadry,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Oxelo,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Quechua,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Rockrider,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Simond,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Solognac,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Stratermic,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Tribord,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Wedze,"A large company such as Oxylane cannot afford not to have a defined position on the crucial issue of living wage  a human right that the UN guidelines mandate companies to uphold. Acknowledging the principle of a living wage is not enough. Oxylane must develop a responsible policy that will allow the payment of a living wage to workers making its products, including work on responsible purchasing practices.",
Desigual,"Desigual did not respond to our survey but got in touch at a later date to send us its code of conduct and annual report. No information is available on its website about the living wage, labour rights or ethical trading. We are glad to find out that Desigual does pay a consultant to make action plans that follow up on its social auditing, and hope that this work includes initiatives to ensure wages meet basic needs. Desigual seems to be at the beginning of the road towards ensuring this vital right is upheld.",
Diesel,"Diesel did not respond to our request for information, and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",115
Diesel Black Gold,"Diesel did not respond to our request for information, and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
55DSL,"Diesel did not respond to our request for information, and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
Diesel Kid,"Diesel did not respond to our request for information, and has no relevant information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.",
