brand_name,labour_rating,brand_id
& Other Stories,B+,
Beare & Ley,C-,
7 for All Mankind,B-,102.0
BeMe,C+,366.0
ABCD Indie,B-,230.0
Berlei,B+,182.0
Abercrombie & Fitch,C-,1.0
Bershka,A,225.0
Abercrombie Kids,C-,2.0
Best & Less,D-,
Actil,B+,
Billabong,C,
Adidas,A-,4.0
Bisley,D-,155.0
Agenda,B-,95.0
Blaq,C+,286.0
Aldi,C,
Boden,C+,
Ally,F,
Bonds,B+,183.0
Alta Linea,B-,96.0
BooHoo,F,39.0
American Apparel,B-,11.0
Breakaway,C+,345.0
Arrow,C,388.0
Brooks Brothers,D+,
AS Colour,B-,25.0
Bulwark,B-,
Ashphalt,F,
Burton Menswear,C+,20.0
ASOS,C+,26.0
C9 by Champion,B,
Athleta,C+,151.0
Calvin Klein,C,375.0
Audrey Blue,A+,27.0
Capture,C,
Autograph,C+,421.0
Champion,B,184.0
Avella,C,
Charlie & Me,D,370.0
Bali,B,
Cheap Monday,B+,176.0
Banana Republic,C+,152.0
City Chic,C+,422.0
Bardot,C-,30.0
Claude Maus,F,
Bardot Junior,C-,31.0
Cobra Golf,B-,
Barely There,B,181.0
Coco Beach,F,
Basque,C+,283.0
Coles,B-,70.0
Colorado,D+,147.0
Elka Collective,F,41.0
Connor,C+,395.0
Ella Moss,B-,103.0
Converse,C+,
Elwood,F,42.0
Cos,B+,177.0
Emerge,C,
Cotton On,B+,82.0
Emerson,C,
Cotton On Body,B+,83.0
Esprit,B,125.0
Cotton On Kids,B+,84.0
etiko,A+,127.0
Country Road,B+,88.0
European Collection,C,
Crestell,B+,
Evans,C+,22.0
Crossroads,C+,423.0
Evil Twin,D+,208.0
Cue,B-,93.0
Explorer,B+,185.0
Dangerfield,F,129.0
EziBuy,C,
Darn Tough,C,
Factorie,B+,85.0
David Jones,B-,97.0
Fairydown,B+,
David Lawrence,C,291.0
Final Days,F,43.0
DC,C,
Fine Lines,C,
Diana Ferrari,D+,148.0
Forever 21,D-,143.0
DIM,B,
Forever New,B,144.0
Dockers,C+,256.0
Fred Bare,C+,108.0
Dorothy Perkins,C+,21.0
Free Fusion,B-,
Dotti,C+,237.0
Fruit of the Loom,B,145.0
Dunlop,B+,106.0
Gap,C+,153.0
Dymples,C,
Gazal,D-,
Eagle Creek,B-,
Gear for Sports,B,
Eastpak,B-,
General Pants Co Basics,F,158.0
Element,C,
General Pants,F,157.0
Glassons,C+,165.0
Jets,B,
Grace Hill,C,
Jockey,B+,189.0
Grosby,F,44.0
Johnny Bigg,C+,396.0
Gum,F,
Julius Marlow,F,46.0
Gumboots,F,
Jump,F,463.0
Guy Leech,C,
Just Jeans,C+,240.0
H&M,B+,178.0
Kachel,F,464.0
Hanes,B,
Karen Walker,C,243.0
Henri Bendel,D+,
Kathmandu,B-,
Hestia,B+,187.0
Katies,C+,424.0
Holeproof,B+,188.0
Kayser,C,190.0
Hollister,C-,3.0
Kipling,B-,
Honolua Surf Company,C,
Kmart,B,
Horace Small,B-,
Knights Apparel,B,
Thurley,C+,439.0
Kookai,C,250.0
Hush Puppies,F,45.0
Kustom,C,
Indie,B-,
La Senza,D+,
Indie & Co,B-,
Lacoste,C+,
Industrie,B-,232.0
Lee,B-,449.0
Intermix,C+,
Lee Cooper,C,220.0
Izod,C,389.0
Lemonade,F,
Jacqui E,C+,238.0
Levis,C+,258.0
Jag,B+,14.0
Lily Loves,B-,
Jansport,B-,
Liminal Apparel,A-,260.0
Jay Jays,C+,239.0
Lorna Jane,D,
Jeanswest,B,234.0
Lowes,C-,
Lucy,B-,450.0
Napapijri,B-,
Lululemon,C,
Nautica,B-,452.0
Lurv,F,
New Balance,C+,
Macpac,D+,
Nike,C+,
Maidenform,B,
Nudie Jeans,B+,340.0
Majestic,B-,451.0
Old Navy,C+,154.0
Marco Polo,C+,347.0
Olga,C,390.0
Marcs,C,303.0
Oroton,D+,342.0
Massimo Dutti,A,226.0
Oysho,A,227.0
Mathers,D+,
Paint it Red,D+,210.0
Metalicus,C+,159.0
Patagonia,A-,
Michelle Bridges,C,
Pavement,F,351.0
Mighty Good Undies,A+,
Petals,F,
Milana,B-,98.0
Peter Alexander,C+,241.0
Milkshake,C+,305.0
Peter Morrissey,C,
Millers,C+,425.0
Ping Pong,F,465.0
Mimco,B+,89.0
Pink,D+,
MINKPINK,D+,209.0
Piper,C+,310.0
MIRROU,D+,
Platinum,B+,192.0
Miss Selfridge,C+,23.0
Playtex,B,193.0
Miss Shop,C+,307.0
Pom Pom,F,
Mix Apparel,B-,
Portmans,C+,242.0
Moda,B-,
Princess Highway,F,133.0
Molli & Mimi,B-,
Pull&Bear,A,228.0
Monki,B+,179.0
Puma,B-,
Mooks,C+,110.0
Pumpkin Patch,D,371.0
Quiksilver,C,
Saba,B+,15.0
Quirky Circus,D+,211.0
Sachi,F,48.0
R M Williams,C+,392.0
Sara,C,
Razzamatazz,B+,194.0
sass & bide,C+,313.0
Red Kap,B-,
Scram,F,
Red Robin,B+,195.0
Seed Heritage,F,
Reebok,A-,5.0
Sheer Relief,B+,197.0
Reef,B-,453.0
Sheridan,B+,
Regatta,C+,311.0
Shoe Warehouse,F,
Republic,C+,111.0
Shoes & Sox,F,
Reserve,C+,312.0
Simon de Winter,C,
Review,C+,348.0
SmartWool,B-,457.0
Revival,F,134.0
Somedays Lovin,D+,212.0
Riders by Lee,B-,454.0
Spalding,B,
Rio,B+,196.0
Speedo,C,
Rivers,C+,404.0
Splendid,B-,104.0
Rock & Republic,B-,455.0
Sportscraft,B+,16.0
Rockmans,C+,367.0
Sportsgirl,B,432.0
Rockwear,C+,397.0
Sprout,C+,317.0
Roger David,F,
St James,B-,99.0
Roxy,C,
Staple the Label,D+,213.0
rrepp,A-,407.0
Stradivarius,A,229.0
Rubi,B+,86.0
Supre,B+,87.0
Russell Brands,B,
Sussan,B,433.0
Rustler,B-,456.0
Suzanne Grae,B,434.0
RVCA,C,
T30,B-,
Table Eight,C+,368.0
Volley,F,50.0
Target,B-,
Voodoo,B+,199.0
Tarocash,C+,398.0
W. Lane,C+,369.0
Taylor Made,A-,7.0
Wallis,C+,24.0
T-Bar,B+,
Warner's,C,391.0
Temt,D+,135.0
Wax Bros,F,
The Foundry,B-,
Weekday,B+,180.0
The Lost Girls,D+,214.0
Williams,D+,
The North Face,B-,
Willow,B+,
Tigerlily,C,
Witchery,B+,92.0
Timberland,B-,
Wonderbra,B,
Tommy Hilfiger,C,385.0
World Industries,C+,
Tontine,B+,
Wrangler,B-,459.0
Topman,C+,440.0
Xcel,C,
Topshop,C+,441.0
Yarra Trail,C+,349.0
Tree of Life,C-,442.0
yd,C+,
Trenery,B+,91.0
Zara,A,471.0
Uniqlo,B,445.0
Zara Home,A,
Urban Angel,D,372.0
Zom-B,F,
Uterque,A,
Valleygirl,D+,136.0
Van Heusen,C,387.0
Vanity Fair,B,146.0
Vans,B-,458.0
Veronika Maine,B-,94.0
Victorias Secret,D+,
