company_id,company_name,rating
0,3Fish,A
1,Abercrombie & Fitch,F
2,Adidas,C
3,Alexander McQueen,F
4,Ally Fashion,D
5,American Apparel,C
6,Anthea Crawford,C
7,APG & Co,B
8,Arabella Ramsay,Not rated
9,Arcadia,F
10,AS Colour,B
11,ASOS,C
12,Audrey Blue,A
13,Authentics,Not rated
14,Balmain,Not rated
15,Bardot,Not rated
16,Belgravia Group,Not rated
17,Ben Sherman,Not rated
18,Benetton,F
19,Bleach,Not rated
20,Blue Illusion,Not rated
21,BooHoo,D
22,Brand Collective,Not rated
23,Bulgari,F
24,Burberry,F
25,Cacharel,C
26,CAG,D
27,Camilla and Marc,Not rated
28,Carla Zampatti,B
29,Carter's,C
30,Chanel,F
31,Christian Dior,F
32,Cinnamon Girl,Not rated
33,CK Clothing Group,Not rated
34,Coach,F
35,Coles Supermarkets,F
36,Collette Dinnigan,Not rated
37,Cotton On,C
38,Country Road,C
39,Cue Clothing,A
40,David Jones,C
41,Decjuba,D
42,Declic,Not rated
43,Delta Galil,B
44,Designworks,B
45,Dickies,F
46,Diesel,F
47,Discovery Group,Not rated
48,DKNY,D
49,Dolce & Gabbana,F
50,Dom Bagnato,Not rated
51,Ducker Edmiston,Not rated
52,Empire Apparel,Not rated
53,Esprit,F
54,Etiko Fair Trade,A
55,Etiko,A
56,Factory X Group,D
57,Fast Future Brands,D
58,FC,Not rated
59,Feathers,Not rated
60,Fields Knitwear,Not rated
61,Flair Industries,Not rated
62,Fleur Wood,Not rated
63,Forever 21,F
64,Forever New,C
65,Fruit of the Loom,F
66,Fusion Retail Brands,Not rated
67,G-Star,C
68,Gant,D
69,Gap,F
70,Gazal,C
71,General Pants,Not rated
72,Ginger & Smart,Not rated
73,Giordano,F
74,Giorgio Armani,F
75,Glassons,B
76,Global Design Workshop,Not rated
77,Globe,D
78,Gloweave,Not rated
79,Gordon Smith,Not rated
80,Gymboree,F
81,H&M,C
82,Hanes Australasia,C
83,Henleys,Not rated
84,Hermes,F
85,Hot Tuna,D
86,Hotsprings,Not rated
87,House of Quirky,Not rated
88,Hugo Boss,D
89,Icebreaker,F
90,Iconix,D
91,Inditex,C
92,Industrie Clothing,A
93,Jayson Brunsdon,Not rated
94,Jeanswest,B
95,Jesse Apparel,Not rated
96,Jimmy Choo,D
97,Just Group,D
98,Karen Walker,B
99,Kate Sylvester,B
100,Kenneth Cole,Not rated
101,Kering Luxury,F
102,Kookai,B
103,Kowtow,A
104,KUKU,Not rated
105,Ladakh,Not rated
106,Laramy,Not rated
107,Levi's,C
108,Lexington,Not rated
109,Liminal Apparel,A
110,LVMH,F
111,Mango,F
112,Manning Cartell,B
113,Max Mara Fashion Group,F
114,Minihaha,Not rated
115,Moschino,D
116,Motel,Not rated
117,Mr K,Not rated
118,MunsterKids,Not rated
119,Muzza Clothing,Not rated
120,Myer,C
121,Narciso Rodriguez,D
122,Nevenka,Not rated
123,Next,F
124,Nicola Finetti,Not rated
125,Nicola Waite,Not rated
126,Nicolangela,Not rated
127,Nique,Not rated
128,Nobody,B
129,Noni B,D
130,Nudie Jeans,A
131,Oakley,F
132,OrotonGroup,A
133,Oxford,D
134,PAS Group,B
135,Pavement United Brands,D
136,Pelaco,Not rated
137,Perri Cutten,B
138,Perry Ellis International,Not rated
139,Pierre Cardin,F
140,Pilgrim Clothing,Not rated
141,PlayCorp,B
142,Prada,F
143,Pretty Girl,D
144,Pumpkin Patch,D
145,Pure Pod,B
146,PVH Brands,D
147,PVH,D
148,R M Williams,C
149,Ralph Lauren,F
150,Retail Apparel Group,Not rated
151,Rhodes & Beckett,Not rated
152,Richemont,F
153,Rip Curl,F
154,Rivers,C
155,Roadhouse,Not rated
156,Rodd & Gunn,Not rated
157,Rrepp,A
158,Saban Brands,D
159,Salco,Not rated
160,Seduce,Not rated
161,Seed Heritage,D
162,Sinerji,A
163,Sixty,D
164,Sonia by Sonia Rykiel,D
165,Specialty Fashion Group,B
166,Sports Direct,D
167,Stafford Group,B
168,Stage II,Not rated
169,Sussan Group,B
170,Syke,Not rated
171,Temperley London,Not rated
172,The Ark,B
173,Thomas Cook Boot & Clothing,Not rated
174,Thurley,Not rated
175,Topshop,F
176,Tree of Life,Not rated
177,TS 14+,Not rated
178,Uniqlo,F
179,Valentino Fashion Group,F
180,Vera Wang,D
181,Versace,F
182,VF Corporation,F
183,Viktor & Rolf,D
184,Viktoria + Woods,B
185,Vivienne Westwood,D
186,Voyager Distributing Co,D
187,Wild Brain,Not rated
188,Wish,F
189,Yeojin Bae,Not rated
190,Zara,C
191,Zimmermann,Not rated
