,type,abstract,detail,aspect,post_nega,brand
0,assess,Cruelty free company,"This company has either signed PETA's statement of assurance or provided a statement verifying that they do not conduct or commission any animal tests.
[Source 2016][More on Animal Testing]",Animals, Praise,Abercrombie & Fitch
1,assess,Bangladesh Safety Accord signatory,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Workers Rights]",Social, lesser praise ,Abercrombie & Fitch
2,assess,100% on Corporate Equality Index,"This company is listed as having best practice on a report card on lesbian, gay, bisexual and transgender equality in corporate America.
[Source 2017][More on Workers Rights]",Social, lesser praise ,Abercrombie & Fitch
3,assess,Irresponsible fabric sourcing,"In 2015 the Rainforest Action Network (RAN) released a report documenting the results of decades of irresponsible fabric sourcing including land grabbing, forest destruction and human rights abuse to forest-dependent communities caused by deforestation from tree-based fabric production companies. This company was one of the ""Fashion Fifteen"" implicated in the report for irresponsibly sourcing tree-based fabrics such as rayon and viscose.
[Source 2015][More on Forests]",Environment, Criticism,Abercrombie & Fitch
4,assess,Sandblasting in China,"According to a 2015 investigation from Al Jazeera, Chinese garment factories are continuing to use the potentially harmful sandblasting method for 'ageing' denim jeans, including jeans made for this company. Sandblasting is a dangerous and deadly process which involves workers firing sand at jeans under high pressure. It has been known to kill workers within months as the inhalation of large amounts of silica dust generated during sandblasting causes silicosis, a potentially lethal pulmonary disease.
[Source 2015][More on Workers Rights]",Social, Criticism,Abercrombie & Fitch
5,assess,'E' rating at rankabrand.org,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received an 'E', the lowest possible score.
[Source 2017][More on Sustainability Reporting]",Business Ethics, Criticism,Abercrombie & Fitch
6,assess,Supply chain practices in China,"This company received a score of 16.5/100 (retrieved 13-Oct-2016) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2016][More on Habitats]",Environment, lesser criticism,Abercrombie & Fitch
7,assess,Worker exploitation in India,"This 2012 report by two Dutch NGOs (SOMO and ICN) reveals how workers in the South Indian garment and textile industry continue to suffer exploitative working conditions while making garments for Western brands. While some recent improvements have been made, thousands of girls work under recruitment and employment schemes that amount to bonded labour. This company was shown to be sourcing from one or more of the four garment manufacturers investigated. While they did respond to a review request, it is unclear whether they are taking sufficient actions to address the problems.
[Source 2012][More on Workers Rights]",Social, lesser criticism,Abercrombie & Fitch
8,assess,Child labour scorecard,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one red mark, indicating poor performance in one or more of these areas.
[Source 2013][More on Human Rights]",Social, lesser criticism,Abercrombie & Fitch
9,assess,D+ grade at Behind the Barcode,"D+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Social, lesser criticism,Abercrombie & Fitch
10,assess,Greenwashing,"Brands owned by this company are on RankaBrand's Greenwashing Alert list. These are companies that report in some way on sustainability, but the information they provide is either of marginal or no relevance and is not explicit about sustainability performance.
[Source 2014][More on Irresponsible Marketing]",Social, lesser criticism,Abercrombie & Fitch
11,assess,45/100 in Fashion Transparency Index,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 45%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]",Business Ethics, lesser criticism,Abercrombie & Fitch
